treatmentID,treatment,temperature,tree,substrate,horizon,DOMinput,CN_DOMinput,CN_MAOMp,CN_POM,pH,fClay,fSilt,temp,bact,fungi,CN_MAOMsini,CN_DOMini,DOMini,POMini,MAOMini,CN_DOM,CN_MAOM,DOM,POM,MAOM,DOM_sub,POM_sub,MAOM_sub,bact,fungi,bact_sub,fungi_sub,resp1,resp3,resp7,resp14,resp22,resp24,resp28,resp35,resp50,resp52,resp56,resp63,resp92,resp94,resp98,resp105,resp148,resp150,resp154,resp161,resp_sub1,resp_sub3,resp_sub7,resp_sub14,resp_sub50,resp_sub52,resp_sub56,resp_sub63,resp_sub148,resp_sub150,resp_sub154,resp_sub161,resp_obs1,resp_obs3,resp_obs7,resp_obs14,resp_obs50,resp_obs52,resp_obs56,resp_obs63,resp_obs148,resp_obs150,resp_obs154,resp_obs161,resp1_error,resp3_error,resp7_error,resp14_error,resp22_error,resp24_error,resp28_error,resp35_error,resp50_error,resp52_error,resp56_error,resp63_error,resp92_error,resp94_error,resp98_error,resp105_error,resp148_error,resp150_error,resp154_error,resp161_error,resp_sub1_error,resp_sub3_error,resp_sub7_error,resp_sub14_error,resp_sub50_error,resp_sub52_error,resp_sub56_error,resp_sub63_error,resp_sub148_error,resp_sub150_error,resp_sub154_error,resp_sub161_error,CN_DOM_error,CN_MAOM_error,DOM_error,POM_error,MAOM_error,DOM_sub_error,POM_sub_error,MAOM_sub_error,bact_error,fungi_error,bact_sub_error,fungi_sub_error
1,12 0 W A,12,control,control,A,0,0,15,24,4.703,0.11,0.31,12,20.7,4.7,15,32,108,11577,11918,,,,11550.64714,8889.631282,,0,0,,,,,0.225846429,0.212904524,0.176167857,0.179709048,0.15802881,0.141163571,0.141367381,0.13268,0.132246905,0.143303571,0.140781429,0.158105238,0.177721905,0.178588095,0.176320714,0.179607143,0.15642381,0.155430238,0.148067619,0.146742857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
2,12 0 W B,12,control,control,B,0,0,15,24,5.11,0.1,0.32,12,6.6,1.1,15,25,83,3665,4616,,,,4141.49904,3951.356486,,0,0,,,,,0.053882143,0.054162381,0.041296905,0.04099119,0.026469762,0.026164048,0.032635,0.026342381,0.032940714,0.037399048,0.033806905,0.045347619,0.02708119,0.034902381,0.032685952,0.034953333,0.028049286,0.026699048,0.021578333,0.022622857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
3,12 B RE A,12,beech,exudates,A,4.57,2.9,15,24,4.703,0.11,0.31,12,20.7,4.7,15,32,108,11577,11918,,,,10932.39657,11807.78733,,0.000736951,0.000169187,,,,,0.262124524,0.222432619,0.199707857,0.194026667,0.220394524,0.212140238,0.197262143,0.179326905,0.203249048,0.185415714,0.187861429,0.180167619,0.176320714,0.18370881,0.186129048,0.18263881,0.143813095,0.139813333,0.140412024,0.138870714,0.131044256,0.015189949,0.005636249,0.002752186,0.142350457,0.019245955,0.010151672,0.007950067,0.078240754,0.02380943,0.012949158,0.010711259,0.034349913,0.00337874,0.001125603,0.000533997,0.031373261,0.004082841,0.002002541,0.001425661,0.015902359,0.004414642,0.002432647,0.001929822,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
4,12 B RE B,12,beech,exudates,B,4.57,2.9,15,24,5.11,0.1,0.32,12,6.6,1.1,15,25,83,3665,4616,,,,3286.017648,5823.044015,,0.000174953,0.00159339,,,,,0.071970238,0.062136429,0.0535,0.0535,0.069779286,0.052175238,0.049907857,0.025514405,0.046290238,0.048557619,0.042647143,0.047487619,0.048200952,0.054519048,0.045704286,0.039131429,0.028813571,0.028049286,0.022011429,0.020941429,0.243844227,0.040430891,0.01136735,0.006511984,0.267991321,0.040089332,0.016943562,0.014753005,0.232579757,0.054869383,0.023034593,0.02006215,0.017549527,0.002512231,0.000608153,0.000348391,0.018700243,0.00209167,0.000845617,0.000376414,0.010766172,0.002664327,0.00098236,0.000952704,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
5,12 B LL A,12,beech,leachates,A,4.57,26.6,15,24,4.703,0.11,0.31,12,20.7,4.7,15,32,108,11577,11918,,,,11718.98478,9999.357916,,0.001096605,0.000535357,,,,,0.251297143,0.198765238,0.179505238,0.165569762,0.211299524,0.201593095,0.198255714,0.179581667,0.259615119,0.190918571,0.173696667,0.177135952,0.220674762,0.217286429,0.199580476,0.19239619,0.184880714,0.153901667,0.157608452,0.154232857,0.111010796,0.008219414,0.004154506,0.002676849,0.108078176,0.013459572,0.007414461,0.006276908,0.08501639,0.025475232,0.011746482,0.008194198,0.027896696,0.001633734,0.000745756,0.000443205,0.022836867,0.002713357,0.001469959,0.001127218,0.02207154,0.004863695,0.002040325,0.001451487,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
6,12 B LL B,12,beech,leachates,B,4.57,26.6,15,24,5.11,0.1,0.32,12,6.6,1.1,15,25,83,3665,4616,,,,4321.020156,3894.605594,,0.000525245,0.001179075,,,,,0.089166667,0.059665238,0.047105476,0.052455476,0.082772143,0.063945238,0.046366667,0.038570952,0.092682381,0.068429048,0.045475,0.053194286,0.05584381,0.070263333,0.039513571,0.051589286,0.030991786,0.03043131,0.019349167,0.023157857,0.202250454,0.032134308,0.011026724,0.005704243,0.210306972,0.028764176,0.016822672,0.010765436,0.168604602,0.045138929,0.047167657,0.028034869,0.018033999,0.001917301,0.000519419,0.000299219,0.017407559,0.001839332,0.000780011,0.000415233,0.015626676,0.003088814,0.002144949,0.001491295,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
7,12 S RE A,12,spruce,exudates,A,4.57,3.1,15,24,4.703,0.11,0.31,12,20.7,4.7,15,32,108,11577,11918,,,,12174.63194,11871.38998,,0.001512494,0.000540276,,,,,0.239705476,0.223247857,0.200752381,0.193644524,0.19828119,0.185135476,0.165748095,0.155328333,0.217362857,0.176422619,0.17334,0.182052857,0.16725119,0.183199286,0.153366667,0.151506905,0.143418214,0.136858095,0.125432024,0.110311905,0.114027863,0.015631237,0.007408351,0.005448034,0.109858053,0.022152293,0.013464188,0.010129214,0.067240864,0.032609833,0.020494605,0.016013596,0.027333103,0.00348964,0.001487244,0.001054982,0.021782785,0.004101175,0.002231664,0.001573354,0.014615666,0.005753112,0.003552535,0.002915321,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
8,12 S RE B,12,spruce,exudates,B,4.57,3.1,15,24,5.11,0.1,0.32,12,6.6,1.1,15,25,83,3665,4616,,,,3802.343086,5743.382456,,0.000415369,0.00158916,,,,,0.078772381,0.0642,0.058404167,0.056990238,0.067766667,0.042927381,0.039972143,0.029297619,0.05704119,0.069320714,0.051512857,0.044328571,0.035208095,0.045347619,0.039488095,0.041628095,0.029042857,0.02654619,0.020737619,0.021527381,0.198398032,0.045839394,0.019303527,0.008992707,0.203385488,0.027820848,0.027427784,0.018982278,0.19024685,0.06126364,0.033418019,0.029043607,0.015628285,0.002942889,0.001127406,0.000512497,0.013782757,0.001194276,0.001096347,0.000556136,0.010851907,0.004246839,0.001721458,0.001287462,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
9,12 S LL A,12,spruce,leachates,A,4.57,37.2,15,24,4.703,0.11,0.31,12,20.7,4.7,15,32,108,11577,11918,,,,11477.85313,10466.86686,,0.000850723,0.000746957,,,,,0.264952381,0.193644524,0.154920714,0.155251905,0.225871905,0.213210238,0.198459524,0.184269286,0.235858571,0.177085,0.171505714,0.188702143,0.200217381,0.194510714,0.188676667,0.184294762,0.152755238,0.147812857,0.134412381,0.133393333,0.145284307,0.00869885,0.004881068,0.003118221,0.138113968,0.016362275,0.00872429,0.006793291,0.103525462,0.021207648,0.013171216,0.010122248,0.038493423,0.001684485,0.000756179,0.00048411,0.031196065,0.003488605,0.001731418,0.001251795,0.024417368,0.003755556,0.002258939,0.00191009,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
10,12 S LL B,12,spruce,leachates,B,4.57,37.2,15,24,5.11,0.1,0.32,12,6.6,1.1,15,25,83,3665,4616,,,,4097.341626,4980.490571,,0.000789063,0.001952758,,,,,0.088860952,0.055155952,0.047742381,0.05029,0.082440952,0.057627143,0.044328571,0.029017381,0.07790619,0.072658095,0.047385714,0.047334762,0.064174524,0.05998369,0.043691667,0.04387,0.029144762,0.027641667,0.019336429,0.02226619,0.295431398,0.027899047,0.011789224,0.00527523,0.234066266,0.019680842,0.018123849,0.012451996,0.216473963,0.057630176,0.021285244,0.017867131,0.026252315,0.001538798,0.000562846,0.000265291,0.019296646,0.001134151,0.000803404,0.000361324,0.016864662,0.004187299,0.001008616,0.000845736,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,,,,2385.418112,2902.604162,,0.000358533,0.000584141,,,,
