\        
        7316 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -346.5310443948534
        mean EF = -11.204239549057702
        Calibration ran for 15:01:23
                     Variable      RMSE      Bias          EF
0          POMSoil155  1.314005  0.746388   -0.409961
1         MAOMSoil155  1.686558  0.660727   -0.163199
2     POMSubstrate155  0.006349 -0.005456   -2.823572
3    MAOMSubstrate155  0.001892  0.000228    0.968928
4         bactSoil155  5.634865 -5.611849 -127.190110
5        fungiSoil155  0.069021 -0.027462   -0.598297
6    bactSubstrate155  0.288167  0.231339  -45.904369
7   fungiSubstrate155  0.033440 -0.022194   -0.382572
8           respSoil1  0.100920 -0.083501   -2.098788
9          respSoil15  0.190687 -0.187098  -31.740508
10         respSoil29  0.151117 -0.136534   -4.422738
11         respSoil43  0.201132 -0.184545   -3.604225
12         respSoil71  0.207050 -0.181555   -4.044702
13         respSoil99  0.173053 -0.155473   -6.083127
14        respSoil127  0.112935 -0.102020   -9.577155
15        respSoil155  0.127568 -0.118667   -9.443084
16     respSubstrate1  0.069614 -0.059470   -2.700867
17    respSubstrate15  0.078080 -0.067042   -2.786054
18    respSubstrate29  0.069615 -0.059684   -2.730633
19    respSubstrate43  0.076347 -0.065774   -2.820917
20    respSubstrate71  0.077934 -0.066685   -2.651969
21    respSubstrate99  0.084984 -0.071384   -2.303718
22   respSubstrate127  0.086659 -0.074264   -2.633409
23   respSubstrate155  0.104986 -0.090468   -2.756703
24            Mean EF       NaN       NaN  -11.204240
        
