Variable,RMSE,Bias,EF
POMSoil155,1.1429643231038034,0.043899127685338435,0.017301882632025034
MAOMSoil155,2.121666351100164,1.2954876131731425,-0.5952150456704048
POMSubstrate155,0.006360394813708796,-0.0054731455,-2.853077840867999
MAOMSubstrate155,0.0026728939160862862,-0.0019409672840811926,0.9369519639026433
MB155,46.60500557526756,-42.48334368135257,-5.185975674298892
FB155,0.22616634725689513,-0.1770105577319852,-1.9899571639885791
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.05423799949140792,-0.025819551424831683,-0.17210288528314366
respSoil15,0.10059015437560466,-0.09643832984139009,-7.344957046841316
respSoil29,0.06660494319444032,-0.01060319579045318,0.06057144975873874
respSoil43,0.09885497743414406,-0.06621285741949748,-0.27124764977113114
respSoil71,0.11838649143673925,-0.07731967528958567,-0.39029295468544345
respSoil99,0.09684277554881457,-0.06776630550347752,-0.9784713973326293
respSoil127,0.04402264759643215,-0.024775766604938434,-0.735638073128805
respSoil155,0.057230454442785676,-0.03977898265589269,-1.3059527749427544
respSubstrate1,0.058709541679849916,-0.04965456867535231,-1.6011869817774191
respSubstrate15,0.06515214441095603,-0.05586199894047046,-1.652403777219341
respSubstrate29,0.05488460372145717,-0.046581247661033595,-1.3491175066852819
respSubstrate43,0.06140274640553723,-0.0526470725512934,-1.4739781446399838
respSubstrate71,0.062372225060186866,-0.05276522774087146,-1.290053428966195
respSubstrate99,0.07022359921619156,-0.057461518901035555,-1.1261023747950678
respSubstrate127,0.07003426572351945,-0.05977033778170361,-1.3308677197173733
respSubstrate155,0.08809815787367388,-0.07576388208779655,-1.5537561633827557
PE1,0.061096100597884964,-0.04179944800937243,-0.6630530292645045
PE15,0.02764691394519207,0.006691427028933607,0.34803775966714856
PE29,0.056635723669129646,0.010003280234646939,0.08511001469468915
PE43,0.09125224172842568,-0.07093328250279363,-0.41906557503535824
PE71,0.07505578155014939,0.017711491371576012,0.23496162171383683
PE99,0.07342228647510057,-0.02849027761640475,-0.1891788101235068
PE127,0.05847130468669269,-0.04523472365168431,-1.9915324898669278
PE155,0.07166022844816952,-0.057257282871189384,-2.33052731261197
Mean EF,,,-1.2370259042842566
