        
        5498 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3485.5455706417365
        mean EF = -2.234763958185572
        Calibration ran for 07:39:45
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.153031   0.374773  -0.085663
1         MAOMSoil155   1.749190   0.784151  -0.251196
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.003100  -0.002406   0.916591
4               MB155  71.637666 -68.198506 -12.469837
5               FB155   0.261700  -0.207918  -2.298629
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.082481  -0.066029  -1.372392
9          respSoil15   0.139868  -0.137189 -14.048686
10         respSoil29   0.094841  -0.071672  -1.318441
11         respSoil43   0.144311  -0.120688  -1.539797
12         respSoil71   0.150540  -0.127902  -1.702193
13         respSoil99   0.132253  -0.115179  -2.923233
14        respSoil127   0.081702  -0.072473  -4.520845
15        respSoil155   0.094905  -0.087247  -6.748728
16     respSubstrate1   0.056421  -0.047917  -1.591830
17    respSubstrate15   0.065003  -0.055477  -1.590689
18    respSubstrate29   0.055467  -0.046987  -1.331825
19    respSubstrate43   0.060489  -0.051841  -1.441937
20    respSubstrate71   0.058762  -0.049946  -1.235241
21    respSubstrate99   0.063128  -0.053189  -1.185965
22   respSubstrate127   0.068420  -0.057985  -1.232600
23   respSubstrate155   0.084325  -0.072531  -1.480708
24                PE1   0.060900  -0.037362  -0.326745
25               PE15   0.027663   0.009243   0.348733
26               PE29   0.051748   0.000623   0.043516
27               PE43   0.094858  -0.074862  -0.628410
28               PE71   0.077028   0.032788   0.185619
29               PE99   0.066177  -0.020671  -0.046420
30              PE127   0.052508  -0.038923  -1.605890
31              PE155   0.059909  -0.048942  -2.735910
32            Mean EF        NaN        NaN  -2.234764
        
