Variable,RMSE,Bias,EF
POMSoil155,1.097550741930799,0.10911900549063465,0.01630047771541654
MAOMSoil155,1.7261172133022602,0.7309463231790225,-0.21840658768267907
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0014610653838364159,-0.0005269329272676917,0.9814736439824988
MB155,23.40181725517961,-11.672280184489356,-0.6928226356057683
FB155,0.16396314644224189,-0.04612953407079797,-0.3265938107932249
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.05547467095587989,-0.01931440368557475,0.06367465230766578
respSoil15,0.08438988169784864,-0.07982267309470772,-5.412482013961116
respSoil29,0.0626347538760367,-0.0004615768617503402,0.06842010380976093
respSoil43,0.0919205153338646,-0.0481455685127781,0.03834825690754351
respSoil71,0.10256986004342168,-0.05995720006007131,-0.23801323895499205
respSoil99,0.08266404141335583,-0.04960280593774894,-0.6162099157291905
respSoil127,0.03782900996417893,0.00641500262208817,-0.18675150219712822
respSoil155,0.04312659260364854,-0.007220220358648705,-0.19354024429330297
respSubstrate1,0.05751589452027272,-0.04877590244066589,-1.5263253397659602
respSubstrate15,0.0654162554021332,-0.0558978650238519,-1.657555445201119
respSubstrate29,0.05628084263089814,-0.04788596064898058,-1.438394304650323
respSubstrate43,0.06202041012063402,-0.05322259813286652,-1.5214805672937213
respSubstrate71,0.06186394753360177,-0.05253656336402997,-1.3011822639221147
respSubstrate99,0.06778892581937115,-0.05586837627056984,-1.1020702091508054
respSubstrate127,0.06727125992819426,-0.057210576367773935,-1.1894814574444772
respSubstrate155,0.08409821301578735,-0.07224919368190233,-1.4105442434898445
PE1,0.06357053797764319,-0.04106719573238799,-0.3759543697815668
PE15,0.030381044474073783,0.016260059081577013,0.09439557624486605
PE29,0.05542770576938832,0.011060384885154503,0.05126691192505983
PE43,0.09117276133460316,-0.07105923071637892,-0.4046098049070672
PE71,0.07105525811011623,0.01723438312327486,0.201645085372679
PE99,0.07252447756903614,-0.033184402976773,-0.31046328110633237
PE127,0.05401428030113445,-0.04002695487022176,-1.5788266391923647
PE155,0.06696804821435139,-0.05329533105261539,-2.215167295183285
Mean EF,,,-0.8408307395098323
