Variable,RMSE,Bias,EF
POMSoil155,1.1252173281396833,0.34253540729239546,-0.03391793358829087
MAOMSoil155,1.7526531256449487,0.7934419984738303,-0.25615610943226796
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0018022228863670707,-0.0008717032242747698,0.971811776666546
MB155,69.4880262822778,-64.92147623094672,-13.92561527188195
FB155,0.35274647043095186,-0.31073078882278204,-5.1400348052810525
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.07762390482524253,-0.058545172028516536,-0.8332778128644465
respSoil15,0.12705356885771182,-0.12378106018561288,-13.53513738711706
respSoil29,0.07913208934073278,-0.04762114525576209,-0.4869440336548414
respSoil43,0.12347212477082765,-0.1004099804826895,-0.735124994045802
respSoil71,0.13978720918340862,-0.11655476257323331,-1.2994323227044493
respSoil99,0.1258621032328886,-0.10417687945653438,-2.7467478657679036
respSoil127,0.07040372475204895,-0.06240157692711758,-3.1105611387835808
respSoil155,0.09370565519387003,-0.08812324960181757,-4.63479834068888
respSubstrate1,0.059758484877898185,-0.05073474540556937,-1.727172925139897
respSubstrate15,0.06530625006377318,-0.055695606036641844,-1.6486249591253999
respSubstrate29,0.05586661114607489,-0.047295778171186326,-1.4026328417276832
respSubstrate43,0.06191445721418364,-0.052943094895750706,-1.5128727559760264
respSubstrate71,0.06320477986686626,-0.05358480972523781,-1.4020143994818168
respSubstrate99,0.07051975338941253,-0.05782578277656621,-1.274842235090532
respSubstrate127,0.07119642089228327,-0.0604549126268071,-1.452440456278961
respSubstrate155,0.08903698733292252,-0.07650251730032365,-1.7019822090332783
PE1,0.060198412076218594,-0.03708921109377175,-0.23384989750723006
PE15,0.03483550462715972,0.022000648506162342,-0.19063144058037107
PE29,0.05880249673636164,0.02089546414217473,-0.06777998133892771
PE43,0.06669538951610508,-0.04640474973321668,0.24834750145066897
PE71,0.07683924040865499,0.04607279341319835,0.06638098928603897
PE99,0.06924049364933034,0.004484337753442727,-0.194471933416291
PE127,0.03348405101933294,-0.011530411369655155,0.00898335219369617
PE155,0.04432479745689929,-0.03336299165484498,-0.4085160881060599
Mean EF,,,-2.0494542747423377
