        
        153 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3880.876770150664
        mean EF = -3.2383338708572116
        Calibration ran for 07:18:04
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.236096   0.591087  -0.247721
1         MAOMSoil155   1.690775   0.644616  -0.169024
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.005828  -0.004923   0.705187
4               MB155  55.730634 -52.216918  -8.600642
5               FB155   0.206235  -0.140767  -1.098802
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.086928  -0.060657  -1.299093
9          respSoil15   0.151239  -0.134297 -19.595487
10         respSoil29   0.120689  -0.080318  -2.458823
11         respSoil43   0.171958  -0.155108  -2.365422
12         respSoil71   0.214640  -0.193872  -4.421323
13         respSoil99   0.179318  -0.166928  -6.605227
14        respSoil127   0.119628  -0.114095 -10.867905
15        respSoil155   0.137502  -0.131216 -11.132873
16     respSubstrate1   0.046390  -0.038705  -0.643505
17    respSubstrate15   0.067521  -0.057719  -1.831336
18    respSubstrate29   0.057434  -0.048887  -1.539301
19    respSubstrate43   0.061320  -0.052637  -1.464889
20    respSubstrate71   0.058245  -0.049355  -1.039802
21    respSubstrate99   0.062594  -0.051126  -0.792253
22   respSubstrate127   0.061880  -0.052447  -0.852591
23   respSubstrate155   0.079099  -0.067882  -1.132490
24                PE1   0.060378   0.010863  -0.241224
25               PE15   0.110399   0.086266 -10.958222
26               PE29   0.105055   0.062406  -2.408198
27               PE43   0.074526  -0.053955   0.061488
28               PE71   0.079547   0.004208  -0.000583
29               PE99   0.070079  -0.028904  -0.223562
30              PE127   0.050274  -0.036178  -1.234081
31              PE155   0.063257  -0.049759  -1.868742
32            Mean EF        NaN        NaN  -3.238334
        
