Variable,RMSE,Bias,EF
POMSoil155,1.1864409524630177,0.478985275166705,-0.14949080827481387
MAOMSoil155,1.6662030391970408,0.5763941242759163,-0.13529183942880163
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0015787892788076156,-0.0008014205024923568,0.9783678821709979
MB155,40.04515420577794,-35.426903324094305,-3.9569236665467367
FB155,0.33281962161871387,-0.2990988485634043,-4.465920669318113
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.19886319445763398,-0.19193520773999626,-11.032230238336624
respSoil15,0.23385600805499496,-0.23168518543469913,-48.24276919851547
respSoil29,0.14258975619793177,-0.12629400531037438,-3.827986090855478
respSoil43,0.17274841408289568,-0.15645172739389096,-2.3964174244159597
respSoil71,0.1801695375654995,-0.1610445949612885,-2.819869189039285
respSoil99,0.16576812674419975,-0.15244045670117182,-5.499299619842523
respSoil127,0.09748502491949773,-0.09094498665357051,-6.881078501953485
respSoil155,0.10879415686302565,-0.10113706958818251,-6.595527079949719
respSubstrate1,0.03897012004036601,-0.03218874600798786,-0.15978371983567752
respSubstrate15,0.0696518495769098,-0.0596430594858573,-2.012841468049919
respSubstrate29,0.06271460360258438,-0.05359771954333594,-2.027750722334436
respSubstrate43,0.06865094254005122,-0.059043429448481954,-2.089437163226707
respSubstrate71,0.06759043101284644,-0.05759387600824286,-1.7469211431385956
respSubstrate99,0.07244101098662217,-0.060083791601387236,-1.4004834630891665
respSubstrate127,0.07165626296962575,-0.061069521058633634,-1.4842223126531966
respSubstrate155,0.08832727184811416,-0.0759382064637633,-1.6590787841963839
PE1,0.06297295885946871,-0.04009790021369512,-0.35020731821988504
PE15,0.042515979495630185,0.029805633832552747,-0.7735258065917088
PE29,0.06356855764705716,0.02514556841666197,-0.24788612686768308
PE43,0.07036200438133328,-0.04954056244367206,0.163430775081433
PE71,0.0745245623360872,0.03467123150378194,0.12178180865880994
PE99,0.06867556714879244,-0.026261467186643784,-0.17506028438289856
PE127,0.04778012493610122,-0.03354246901565043,-1.0178994510582142
PE155,0.06059784238528473,-0.047202553082019275,-1.6325862868032335
Mean EF,,,-3.811349321142252
