        
        3518 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -10041.215943528116
        mean EF = -5.13827418166267
        Calibration ran for 09:13:09
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.179391   -0.336291  -0.046335
1         MAOMSoil155    1.872269    0.828658  -0.242228
2     POMSubstrate155    0.006360   -0.005473  -2.853078
3    MAOMSubstrate155    0.005346   -0.004465   0.747800
4               MB155  146.494781  145.240572 -60.120568
5               FB155    0.260965   -0.223451  -2.980820
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.190193    0.181211 -13.412750
9          respSoil15    0.105574    0.072623  -8.192286
10         respSoil29    0.155682    0.092575  -4.132516
11         respSoil43    0.089710    0.036398  -0.046912
12         respSoil71    0.098726   -0.004612   0.033128
13         respSoil99    0.085388    0.050276  -0.538115
14        respSoil127    0.130102    0.125444 -14.159172
15        respSoil155    0.129713    0.123650 -10.845698
16     respSubstrate1    0.045149   -0.037563  -0.538311
17    respSubstrate15    0.064202   -0.055047  -1.575568
18    respSubstrate29    0.057356   -0.048782  -1.565465
19    respSubstrate43    0.064245   -0.055155  -1.708348
20    respSubstrate71    0.063718   -0.053968  -1.389919
21    respSubstrate99    0.069369   -0.056721  -1.074641
22   respSubstrate127    0.067715   -0.057729  -1.179054
23   respSubstrate155    0.085169   -0.073206  -1.386739
24                PE1    0.091365   -0.072232  -2.719110
25               PE15    0.130298    0.107204 -13.481232
26               PE29    0.174769    0.126861  -7.712002
27               PE43    0.061076    0.006592   0.364301
28               PE71    0.084178    0.008816   0.037687
29               PE99    0.074124   -0.030568  -0.212007
30              PE127    0.052471   -0.039113  -1.409022
31              PE155    0.065814   -0.051562  -1.809244
32            Mean EF         NaN         NaN  -5.138274
        
