        
        3 parameter sets accepted out of 6 tries
        converged = False
        best likelihood = -3208.5239609964133
        mean EF = -5.78903579784247
        Calibration ran for 00:00:30
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.232157   -0.159998   0.014804
1         MAOMSoil155    1.695691    0.037795  -0.001567
2     POMSubstrate155    0.006458   -0.005551  -2.830258
3    MAOMSubstrate155    0.006881   -0.005883   0.603612
4               MB155  142.806149  141.619800 -76.728060
5               FB155    0.238647   -0.190579  -1.913518
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.181240   -0.174722  -8.066054
9          respSoil15    0.189799   -0.188586 -53.908957
10         respSoil29    0.073920   -0.046613  -0.614065
11         respSoil43    0.078154   -0.010045   0.419530
12         respSoil71    0.078558    0.007351   0.261985
13         respSoil99    0.079453    0.048170  -0.594176
14        respSoil127    0.128613    0.123127 -11.393370
15        respSoil155    0.130864    0.122995  -8.016244
16     respSubstrate1    0.014382    0.006066   0.848108
17    respSubstrate15    0.064374   -0.054900  -1.561505
18    respSubstrate29    0.059982   -0.051509  -1.816448
19    respSubstrate43    0.066355   -0.057011  -1.842872
20    respSubstrate71    0.064045   -0.054270  -1.439856
21    respSubstrate99    0.068834   -0.056910  -1.149957
22   respSubstrate127    0.067453   -0.057507  -1.188104
23   respSubstrate155    0.084096   -0.072191  -1.369621
24                PE1    0.044018   -0.003787   0.425593
25               PE15    0.018755   -0.002644   0.348546
26               PE29    0.051991    0.009509   0.141154
27               PE43    0.059404   -0.033988   0.455390
28               PE71    0.069493    0.027996   0.197748
29               PE99    0.066943   -0.027571  -0.212281
30              PE127    0.050604   -0.035263  -1.017129
31              PE155    0.065315   -0.051099  -1.723503
32            Mean EF         NaN         NaN  -5.789036
        
