0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.80968,0.03250,29.45311,166.98034,4001.23783,8.03829,12.00533,0.33837,0.16675,1.52241,0.55850,0.88946,0.82462,1.06241,0.98029,0.00046,0.00342,0.00020,0.77795,0.00006,0.25499,137.07444,0.15573,38.75846,0.86014
0.81243,0.04725,29.51438,167.62374,4385.10577,7.18022,14.33697,0.33956,0.16969,1.34548,0.59118,0.86216,0.65091,0.97779,1.08646,0.00043,0.00462,0.00020,0.72542,0.00006,0.24479,138.74331,0.18842,33.26445,0.84553
0.80241,0.07052,29.56377,185.08595,4162.16161,7.30434,13.34663,0.36854,0.21350,1.41291,0.52376,0.88401,0.79875,1.09712,1.06685,0.00044,0.00490,0.00018,0.72346,0.00004,0.24994,140.55038,0.16020,33.03143,0.87717
0.80149,0.00486,29.65561,167.39770,3976.27316,7.60231,12.75835,0.31439,0.21951,1.47503,0.51303,0.90245,0.73987,0.97172,1.02586,0.00047,0.00380,0.00013,0.73381,0.00002,0.25171,139.78477,0.15342,34.29941,0.86942
0.80084,0.03934,29.84794,167.70505,4042.12032,7.71851,15.30468,0.33242,0.21414,1.63601,0.64840,0.90150,0.93425,0.94054,1.09017,0.00045,0.00370,0.00018,0.74229,0.00001,0.25233,146.18977,0.15183,35.59750,0.96494
0.79310,0.01851,29.92699,179.30708,3920.87412,7.72138,13.06993,0.33714,0.23367,1.50326,0.60074,0.89493,0.79430,0.98415,1.14771,0.00044,0.00474,0.00015,0.76352,0.00001,0.25131,159.55896,0.15197,33.10854,0.85933
0.80500,0.00849,29.83976,167.21734,3861.45011,7.52054,13.96516,0.29366,0.16432,1.26510,0.56781,0.89823,0.71133,1.00342,1.05255,0.00044,0.00506,0.00020,0.72611,0.00000,0.25926,139.77761,0.16114,35.42890,0.92672
0.77913,0.00121,29.84669,167.31684,4331.38760,8.23417,14.34249,0.32284,0.18010,1.47313,0.57722,0.89512,0.81179,0.96728,1.06187,0.00042,0.00438,0.00018,0.72735,0.00004,0.24151,145.04911,0.15247,34.10323,0.78102
0.78556,0.02542,29.86910,180.48857,3789.83348,7.53269,14.81431,0.32583,0.16578,1.38048,0.50162,0.89500,0.69636,1.14090,0.94692,0.00047,0.00421,0.00018,0.71712,0.00006,0.25899,141.68932,0.16541,31.21861,0.88907
0.80425,0.01617,29.84480,175.76852,4330.50468,7.23696,12.99305,0.31240,0.22976,1.82693,0.55347,0.88337,0.69538,1.13964,1.12477,0.00046,0.00380,0.00016,0.75847,0.00005,0.25804,142.50629,0.15367,34.99811,0.91162
0.79674,0.00102,29.83088,183.61967,3850.16189,8.57235,15.41229,0.37226,0.15863,1.64404,0.57516,0.90070,0.77566,1.14195,1.03812,0.00050,0.00463,0.00018,0.73173,0.00002,0.25468,142.43788,0.15041,41.10949,0.77116
0.79781,0.00590,29.60187,170.07991,4120.73672,7.83372,13.43285,0.29666,0.17083,1.70441,0.55804,0.88337,0.70647,1.17190,1.09815,0.00047,0.00358,0.00017,0.75983,0.00002,0.25605,146.68213,0.18060,34.80181,0.94468
0.79893,0.00794,29.70766,187.36358,4371.45374,8.12571,14.15802,0.35607,0.21328,1.35515,0.62337,0.88504,0.71151,1.05288,1.18410,0.00044,0.00355,0.00018,0.74728,0.00001,0.25559,140.19844,0.15048,33.24883,0.78212
0.80648,0.02075,29.87434,176.21831,4025.09157,8.99408,14.40115,0.33334,0.17043,1.68438,0.57538,0.90188,0.77682,1.01729,1.00680,0.00050,0.00491,0.00013,0.78166,0.00004,0.25496,148.41244,0.19204,38.95248,0.89893
0.80047,0.00537,29.81920,172.67186,4092.23676,7.37653,11.62199,0.36219,0.18330,1.75121,0.67027,0.89584,0.80984,1.13106,1.02808,0.00046,0.00386,0.00016,0.73559,0.00000,0.24530,143.04428,0.16258,34.59419,0.98582
