treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,respSubstrate,baselineResp,respSoil,POM,MAOMs,MAOMp,MAOM
12 0 W A,0,0.00000,1.91485,6.31152,18.00130,5.73234,0.00000,0.00164,0.00164,16.28991,20.16519,11.54465,31.70985
12 0 W A,1,0.00000,4.21302,5.77991,16.57130,5.59609,0.00000,0.00193,0.00194,16.28981,20.16504,11.54465,31.70969
12 0 W A,2,0.00000,6.33534,5.29728,15.26226,5.46594,0.00000,0.00180,0.00182,16.28972,20.16489,11.54466,31.70954
12 0 W A,3,0.00000,8.29652,4.85916,14.06391,5.34158,0.00000,0.00167,0.00171,16.28962,20.16473,11.54466,31.70939
12 0 W A,4,0.00000,10.11013,4.46149,12.96685,5.22273,0.00000,0.00156,0.00160,16.28953,20.16458,11.54467,31.70925
12 0 W A,5,0.00000,11.78862,4.10056,11.96248,5.10912,0.00000,0.00146,0.00151,16.28944,20.16443,11.54468,31.70911
12 0 W A,6,0.00000,13.34339,3.77301,11.04291,5.00048,0.00000,0.00136,0.00143,16.28935,20.16428,11.54469,31.70897
12 0 W A,7,0.00000,14.78486,3.47578,10.20095,4.89659,0.00000,0.00127,0.00135,16.28925,20.16413,11.54470,31.70883
12 0 W A,8,0.00000,16.12257,3.20608,9.42998,4.79719,0.00000,0.00119,0.00128,16.28916,20.16398,11.54471,31.70869
12 0 W A,9,0.00000,17.36526,2.96140,8.72398,4.70209,0.00000,0.00112,0.00121,16.28907,20.16383,11.54473,31.70856
12 0 W A,10,0.00000,18.52090,2.73943,8.07741,4.61106,0.00000,0.00105,0.00115,16.28898,20.16368,11.54474,31.70842
12 0 W A,11,0.00000,19.59679,2.53807,7.48520,4.52392,0.00000,0.00099,0.00110,16.28889,20.16353,11.54476,31.70829
12 0 W A,12,0.00000,20.59962,2.35544,6.94273,4.44048,0.00000,0.00094,0.00105,16.28880,20.16339,11.54478,31.70816
12 0 W A,13,0.00000,21.53548,2.18979,6.44576,4.36056,0.00000,0.00088,0.00100,16.28871,20.16324,11.54480,31.70804
12 0 W A,14,0.00000,22.40995,2.03956,5.99041,4.28399,0.00000,0.00084,0.00096,16.28862,20.16310,11.54481,31.70791
12 0 W A,15,0.00000,23.22815,1.90332,5.57311,4.21062,0.00000,0.00079,0.00093,16.28853,20.16295,11.54484,31.70779
12 0 W A,16,0.00000,23.99473,1.77977,5.19063,4.14029,0.00000,0.00075,0.00089,16.28844,20.16281,11.54486,31.70766
