treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMs,MAOMp,MAOM
exudates,0,10,18.432362923044174,155.30072712011105,161.55148133014467,47.48280973246162,0.0,133.36106782305015,1403.6160826829205,12003.173986103327,16665.048097354855,8441.394452753133,25106.44255010799
exudates,1,0,17.43229412420523,116.92341490678726,124.53089596797122,41.32445114743236,1.0382079937017359,101.0147756136748,1133.04164629357,11177.776884013914,16451.652744304396,8428.6633785651,24880.316122869495
exudates,2,0,15.182033946109806,89.63576088343171,97.7381564635578,36.25551329335423,1.4612122364379987,78.40265625979117,746.5220674739522,10648.05080066157,16303.550328991942,8419.90818907945,24723.45851807139
exudates,3,0,12.924889438880768,69.33681575276206,78.1927769398485,32.05778072030233,1.4634692586695992,62.0030346504303,479.8543462726608,10317.619693389524,16204.668408676302,8414.202602870464,24618.871011546766
exudates,4,0,10.884098162100772,54.01976799424653,63.782315667937894,28.554632614565996,1.2836240051759757,49.79202471077529,325.2730666015977,10099.38965961724,16135.476907849456,8410.338895275763,24545.815803125217
exudates,5,0,9.106555520248996,42.36604015828684,53.02125608219478,25.606599707263353,1.059262592768259,40.57856125934018,233.32231637154834,9946.04368976197,16084.334590346647,8407.585966640383,24491.920556987032
exudates,6,0,7.599513739236403,33.43093165363679,44.87028515921365,23.10476626048559,0.846266391784576,33.54651801177192,175.79051924473478,9832.24357542202,16044.65106755663,8405.52777278925,24450.178840345878
exudates,7,0,6.345333236372305,26.53458944608758,38.60316006952063,20.96421998737967,0.6633041408118903,28.115613692944372,138.22858682152477,9743.632119585192,16012.537580804457,8403.919018489127,24416.456599293582
exudates,8,0,5.314439154730886,21.18220785462055,33.71112327408838,19.118557462672793,0.5136923878513139,23.872454458599094,112.71263739479718,9671.745195313813,15985.62686354106,8402.611305234503,24388.238168775562
exudates,9,0,4.47371500468766,17.008907090572432,29.83567520041995,17.51555671032301,0.3947109653000623,20.52038356371578,94.69714291031909,9611.433060128955,15962.438072292884,8401.512851532028,24363.950923824912
exudates,10,0,3.7911653641522616,13.742212255896813,26.722020810060783,16.113861768172,0.30168572272216926,17.84435938140407,81.48975391873114,9559.471832855437,15942.019665628157,8400.56563963654,24342.585305264696
