Variable,RMSE,Bias,EF
POMSoil155,1.1815865993698935,0.46004697066263384,-0.1401037101244671
MAOMSoil155,1.6611442370575198,0.5613281187194064,-0.12840852678697967
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.004680944631936715,-0.003903056415102158,0.8098406382455894
MB155,38.4348059789401,-33.61660620162669,-3.5662709364123817
FB155,0.3459308603664733,-0.31376551491043736,-4.905056987011748
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.17575801568043584,-0.16829072315006938,-8.398695773249104
respSoil15,0.2067210712229163,-0.20443831803722706,-37.4782132757241
respSoil29,0.12922335138862204,-0.111065443852491,-2.965257157971807
respSoil43,0.1624411587094419,-0.14480444665003908,-2.003205700246375
respSoil71,0.17609648244005988,-0.1560896955221664,-2.649111427445236
respSoil99,0.1617198259705077,-0.14803137901163338,-5.185730996917841
respSoil127,0.09443347505647114,-0.08768982571637515,-6.395401934191876
respSoil155,0.1060254669628174,-0.09819771620199316,-6.213850912187617
respSubstrate1,0.0285775261551419,-0.022616947300186027,0.3763186135959742
respSubstrate15,0.06938252972945502,-0.05941456349716913,-1.9895872609688956
respSubstrate29,0.06295977606510378,-0.05382284673247273,-2.051469985443644
respSubstrate43,0.06915003298542544,-0.05948490492469551,-2.1345206924174143
respSubstrate71,0.06833212314129974,-0.05824741460307052,-1.807537657178493
respSubstrate99,0.07318561807223846,-0.060752923057990696,-1.4500852902079053
respSubstrate127,0.07239350497860132,-0.061716261963814655,-1.535603576792124
respSubstrate155,0.08895506717042725,-0.07648525659917785,-1.697012476766096
PE1,0.05953515464658634,-0.036400772745312136,-0.2068109176866113
PE15,0.03759737813270454,0.02379836309612319,-0.3869099216073735
PE29,0.061364286273108644,0.019376139666755925,-0.16284442781952513
PE43,0.07247807684091272,-0.0519865038241619,0.11235604239720709
PE71,0.0742866853450918,0.03234838703037492,0.1273792784011708
PE99,0.0686446695989883,-0.026199005040628765,-0.17400318888549982
PE127,0.04760939199070715,-0.033361278505370656,-1.0035040774021398
PE155,0.06031865175220936,-0.04693799963979524,-1.6083840958833182
Mean EF,,,-3.254508601931424
