Year	Day	Month	temp
1997	1	1	-12.09404255
1997	2	1	-12.67416667
1997	3	1	-8.541041667
1997	4	1	-4.88375
1997	5	1	-4.018958333
1997	6	1	-5.339375
1997	7	1	-6.547291667
1997	8	1	-8.299791667
1997	9	1	-6.22375
1997	10	1	-4.27625
1997	11	1	-3.985416667
1997	12	1	-0.367083333
1997	13	1	3.120625
1997	14	1	2.914583333
1997	15	1	1.2175
1997	16	1	1.157083333
1997	17	1	3.656875
1997	18	1	4.871458333
1997	19	1	3.823541667
1997	20	1	3.205208333
1997	21	1	1.70875
1997	22	1	6.210625
1997	23	1	5.336458333
1997	24	1	5.063125
1997	25	1	1.575625
1997	26	1	0.263958333
1997	27	1	-0.417708333
1997	28	1	0.778125
1997	29	1	2.361875
1997	30	1	2.498333333
1997	31	1	3.670625
1997	1	2	1.811458333
1997	2	2	-0.878958333
1997	3	2	1.319791667
1997	4	2	4.348333333
1997	5	2	4.525416667
1997	6	2	5.164791667
1997	7	2	7.256458333
1997	8	2	4.998958333
1997	9	2	9.539375
1997	10	2	8.1975
1997	11	2	6.123125
1997	12	2	10.17
1997	13	2	6.796875
1997	14	2	4.051041667
1997	15	2	3.031666667
1997	16	2	3.411875
1997	17	2	7.267083333
1997	18	2	8.43
1997	19	2	5.6875
1997	20	2	8.714791667
1997	21	2	9.659375
1997	22	2	10.10375
1997	23	2	9.399375
1997	24	2	10.11666667
1997	25	2	12.02229167
1997	26	2	8.690833333
1997	27	2	7.907916667
1997	28	2	10.62979167
1997	1	3	10.2287234
1997	2	3	10.44583333
1997	3	3	8.133333333
1997	4	3	9.283125
1997	5	3	10.32875
1997	6	3	8.212291667
1997	7	3	10.52166667
1997	8	3	9.974375
1997	9	3	9.704166667
1997	10	3	9.520208333
1997	11	3	5.709375
1997	12	3	8.525208333
1997	13	3	9.925208333
1997	14	3	8.940416667
1997	15	3	10.248125
1997	16	3	10.725
1997	17	3	10.248125
1997	18	3	7.571666667
1997	19	3	6.92125
1997	20	3	5.565416667
1997	21	3	5.74875
1997	22	3	4.239375
1997	23	3	6.612708333
1997	24	3	7.521666667
1997	25	3	7.662916667
1997	26	3	9.710625
1997	27	3	12.32083333
1997	28	3	7.89
1997	29	3	7.271041667
1997	30	3	8.440833333
1997	31	3	8.6775
1997	1	4	10.34891304
1997	2	4	9.820208333
1997	3	4	8.018958333
1997	4	4	6.329583333
1997	5	4	9.162083333
1997	6	4	6.982708333
1997	7	4	5.326666667
1997	8	4	8.440833333
1997	9	4	10.95875
1997	10	4	10.56916667
1997	11	4	7.297291667
1997	12	4	5.851875
1997	13	4	6.41375
1997	14	4	8.606458333
1997	15	4	6.561458333
1997	16	4	5.367083333
1997	17	4	7.701458333
1997	18	4	6.203125
1997	19	4	5.467708333
1997	20	4	5.044583333
1997	21	4	5.194583333
1997	22	4	6.341875
1997	23	4	6.514583333
1997	24	4	10.37958333
1997	25	4	11.048125
1997	26	4	10.64416667
1997	27	4	12
1997	28	4	11.53166667
1997	29	4	10.55583333
1997	30	4	10.78541667
1997	1	5	12.24340426
1997	2	5	16.05375
1997	3	5	18.40520833
1997	4	5	15.37479167
1997	5	5	13.15208333
1997	6	5	7.097708333
1997	7	5	5.616875
1997	8	5	6.125208333
1997	9	5	9.443191489
1997	10	5	11.765625
1997	11	5	12.24354167
1997	12	5	12.19375
1997	13	5	14.36604167
1997	14	5	11.81583333
1997	15	5	13.29666667
1997	16	5	19.07627907
1997	17	5	22.365625
1997	18	5	17.20395833
1997	19	5	17.12708333
1997	20	5	13.899375
1997	21	5	12.206875
1997	22	5	10.96604167
1997	23	5	10.92083333
1997	24	5	9.713125
1997	25	5	12.295625
1997	26	5	12.8025
1997	27	5	11.48
1997	28	5	11.49770833
1997	29	5	13.42333333
1997	30	5	14.17104167
1997	31	5	14.605
1997	1	6	14.10021277
1997	2	6	16.63166667
1997	3	6	17.51875
1997	4	6	17.57083333
1997	5	6	20.324375
1997	6	6	21.5375
1997	7	6	20.32291667
1997	8	6	17.200625
1997	9	6	16.714375
1997	10	6	20.63395833
1997	11	6	19.869375
1997	12	6	17.51145833
1997	13	6	17.05458333
1997	14	6	15.72708333
1997	15	6	13.50541667
1997	16	6	14.36979167
1997	17	6	14.40791667
1997	18	6	14.43020833
1997	19	6	15.336875
1997	20	6	14.11166667
1997	21	6	15.14645833
1997	22	6	13.41208333
1997	23	6	12.994375
1997	24	6	12.95666667
1997	25	6	11.82895833
1997	26	6	14.145625
1997	27	6	14.14416667
1997	28	6	14.48333333
1997	29	6	14.64791667
1997	30	6	13.72541667
1997	1	7	14.52425532
1997	2	7	14.1175
1997	3	7	13.721875
1997	4	7	14.82645833
1997	5	7	13.52604167
